#maxlength trans of genes
gene_id	trans_id	maxlength	exon_num
NONMMUG034874.2	NONMMUT121968.1	4539	4
NONMMUG089609.1	NONMMUT142223.1	862	2
NONMMUG052238.1	NONMMUT083897.1	217	2
NONMMUG039003.2	NONMMUT063172.2	1114	1
NONMMUG045510.2	NONMMUT073375.2	526	1
NONMMUG074373.1	NONMMUT118515.1	547	3
NONMMUG000060.2	NONMMUT000084.2	2596	3
NONMMUG041273.2	NONMMUT066695.2	1245	7
NONMMUG013945.2	NONMMUT096613.1	4705	3
NONMMUG005677.3	NONMMUT140828.1	6344	1
NONMMUG096050.1	NONMMUT153270.1	825	2
NONMMUG035145.2	NONMMUT056588.2	2850	1
NONMMUG038830.2	NONMMUT062929.2	1278	2
NONMMUG044189.2	NONMMUT135567.1	2004	1
NONMMUG050457.2	NONMMUT139791.1	1937	1
NONMMUG014402.2	NONMMUT023291.2	1868	3
NONMMUG011683.3	NONMMUT090470.1	4019	3
NONMMUG032511.2	NONMMUT052356.2	776	1
NONMMUG091716.1	NONMMUT145656.1	275	1
NONMMUG043440.2	NONMMUT070174.2	3080	1
NONMMUG067335.1	NONMMUT107696.1	1020	1
NONMMUG024632.3	NONMMUT107890.1	7625	13
NONMMUG091383.1	NONMMUT145088.1	2893	1
NONMMUG011576.2	NONMMUT018618.2	2828	2
NONMMUG092215.1	NONMMUT146500.1	3052	4
NONMMUG001011.2	NONMMUT001512.2	1017	3
NONMMUG045189.2	NONMMUT072916.2	292	1
NONMMUG032544.2	NONMMUT052406.2	2630	3
NONMMUG008648.2	NONMMUT013646.2	2767	2
NONMMUG095374.1	NONMMUT151892.1	757	1
NONMMUG015560.2	NONMMUT025138.2	1115	2
NONMMUG043688.2	NONMMUT070590.2	3207	2
NONMMUG088414.1	NONMMUT140130.1	893	3
NONMMUG021081.2	NONMMUT106075.1	9076	1
NONMMUG004888.2	NONMMUT007717.2	1748	1
NONMMUG010530.2	NONMMUT016730.2	3836	2
NONMMUG005850.2	NONMMUT009389.2	3553	1
NONMMUG034337.3	NONMMUT055299.2	1444	6
NONMMUG015559.2	NONMMUT025136.2	358	1
NONMMUG022369.3	NONMMUT146729.1	2891	2
NONMMUG036055.3	NONMMUT122699.1	6276	20
NONMMUG021727.2	NONMMUT035259.2	2744	1
NONMMUG030525.2	NONMMUT049298.2	1672	2
NONMMUG024854.2	NONMMUT109788.1	6031	7
NONMMUG021591.2	NONMMUT105643.1	2841	7
NONMMUG003491.2	NONMMUT005432.2	542	3
NONMMUG010524.2	NONMMUT091009.1	1843	2
NONMMUG008323.2	NONMMUT013126.2	908	2
NONMMUG014068.2	NONMMUT022763.2	3056	1
NONMMUG006556.2	NONMMUT010436.2	5674	2
NONMMUG066105.1	NONMMUT105761.1	2470	1
NONMMUG052640.1	NONMMUT084525.1	1386	1
NONMMUG056469.1	NONMMUT090604.1	893	1
NONMMUG027451.2	NONMMUT044485.2	1092	2
NONMMUG039853.3	NONMMUT152493.1	7249	2
NONMMUG003185.3	NONMMUT139883.1	2395	2
NONMMUG013326.2	NONMMUT021460.2	1637	5
NONMMUG062157.1	NONMMUT099360.1	633	1
NONMMUG015628.2	NONMMUT025253.2	2213	2
NONMMUG002482.2	NONMMUT003859.2	1934	2
NONMMUG024773.2	NONMMUT040030.2	470	2
NONMMUG015144.3	NONMMUT096240.1	6188	1
NONMMUG029794.2	NONMMUT048022.2	2389	1
NONMMUG052638.1	NONMMUT084523.1	970	2
NONMMUG001226.2	NONMMUT001832.2	387	2
NONMMUG032557.2	NONMMUT120568.1	3125	6
NONMMUG081125.1	NONMMUT129206.1	788	1
NONMMUG024704.2	NONMMUT039923.2	527	1
NONMMUG039115.3	NONMMUT063335.2	1401	2
NONMMUG038957.2	NONMMUT063112.2	543	1
NONMMUG037564.2	NONMMUT060437.2	7975	2
NONMMUG034003.2	NONMMUT054807.2	2276	3
NONMMUG073643.1	NONMMUT117407.1	4033	1
NONMMUG006385.2	NONMMUT010177.2	2936	1
NONMMUG003800.2	NONMMUT005893.2	538	3
NONMMUG015818.3	NONMMUT097999.1	6788	12
NONMMUG041327.2	NONMMUT131476.1	5928	5
NONMMUG029056.2	NONMMUT047006.2	579	2
NONMMUG030273.3	NONMMUT048761.2	3872	4
NONMMUG008480.2	NONMMUT013370.2	255	2
NONMMUG042693.3	NONMMUT153230.1	3231	5
NONMMUG091441.1	NONMMUT145188.1	2341	4
NONMMUG027152.2	NONMMUT044011.2	640	4
NONMMUG017428.2	NONMMUT028145.2	1513	1
NONMMUG031369.2	NONMMUT115985.1	5876	6
NONMMUG021614.2	NONMMUT035093.2	2632	2
NONMMUG031667.2	NONMMUT051107.2	1946	1
NONMMUG031634.3	NONMMUT148390.1	3285	2
NONMMUG000058.2	NONMMUT077291.1	2703	1
NONMMUG089376.1	NONMMUT141784.1	2409	1
NONMMUG043667.2	NONMMUT070542.2	1385	3
NONMMUG027841.2	NONMMUT045132.2	332	2
NONMMUG029983.2	NONMMUT048343.2	748	2
NONMMUG038239.2	NONMMUT061901.2	1665	3
NONMMUG010994.3	NONMMUT089857.1	4026	10
NONMMUG015026.2	NONMMUT097436.1	903	3
NONMMUG036555.2	NONMMUT058800.2	3022	1
NONMMUG062274.2	NONMMUT144545.1	10064	1
NONMMUG014968.2	NONMMUT096151.1	5453	5
ENSMUSG00000112980	ENSMUST00000220477	2941	2
NONMMUG050913.1	NONMMUT081794.1	802	1
NONMMUG041581.2	NONMMUT067160.2	273	2
NONMMUG052637.1	NONMMUT084521.1	1659	1
NONMMUG052619.1	NONMMUT084492.1	3354	1
NONMMUG015820.2	NONMMUT025561.2	2917	4
NONMMUG027215.2	NONMMUT044106.2	9102	2
NONMMUG002797.2	NONMMUT004327.2	1419	3
NONMMUG094117.1	NONMMUT149690.1	748	1
NONMMUG008609.2	NONMMUT013575.2	2362	1
NONMMUG037353.2	NONMMUT060123.2	2321	1
NONMMUG080283.1	NONMMUT127916.1	1063	1
NONMMUG052636.1	NONMMUT084520.1	720	2
NONMMUG085369.1	NONMMUT135391.1	2789	1
NONMMUG009169.3	NONMMUT141909.1	1042	2
NONMMUG033423.2	NONMMUT053898.2	2469	1
NONMMUG064152.1	NONMMUT102567.1	361	2
NONMMUG038403.2	NONMMUT062265.2	4434	2
NONMMUG020913.2	NONMMUT034037.2	2346	1
NONMMUG027950.2	NONMMUT045296.2	3065	1
NONMMUG001335.2	NONMMUT075956.1	2591	2
NONMMUG038659.2	NONMMUT062659.2	1028	2
NONMMUG094550.1	NONMMUT150416.1	7851	2
NONMMUG004890.2	NONMMUT081136.1	1993	2
NONMMUG091607.1	NONMMUT145491.1	314	1
NONMMUG042981.2	NONMMUT069385.2	2452	1
NONMMUG016611.2	NONMMUT026798.2	670	2
NONMMUG054320.2	NONMMUT141459.1	1819	5
NONMMUG036400.3	NONMMUT150151.1	1987	3
NONMMUG052643.1	NONMMUT084528.1	3139	1
NONMMUG091972.1	NONMMUT146108.1	5147	1
NONMMUG019222.2	NONMMUT031302.2	646	2
NONMMUG096026.1	NONMMUT153233.1	769	1
NONMMUG042812.2	NONMMUT069148.2	2033	1
NONMMUG017113.2	NONMMUT027626.2	918	1
NONMMUG024580.2	NONMMUT109667.1	532	2
NONMMUG045604.2	NONMMUT073541.2	291	1
NONMMUG074820.1	NONMMUT119271.1	672	2
NONMMUG028179.3	NONMMUT045652.2	1700	2
NONMMUG088490.1	NONMMUT140285.1	3733	1
NONMMUG016345.2	NONMMUT026396.2	3481	2
NONMMUG016169.2	NONMMUT026120.2	3468	1
NONMMUG032832.3	NONMMUT052871.2	4201	2
NONMMUG018090.2	NONMMUT029259.2	5359	2
NONMMUG006571.2	NONMMUT010461.2	5286	2
NONMMUG015569.3	NONMMUT144229.1	6408	2
NONMMUG059960.1	NONMMUT095886.1	698	3
NONMMUG019190.3	NONMMUT145006.1	1923	2
NONMMUG064595.2	NONMMUT145389.1	3090	1
NONMMUG065520.1	NONMMUT104725.1	2133	3
NONMMUG013212.2	NONMMUT021293.2	604	2
NONMMUG016382.2	NONMMUT026469.2	1718	1
NONMMUG031059.2	NONMMUT050161.2	3321	1
NONMMUG008162.2	NONMMUT012858.2	4908	1
NONMMUG052647.1	NONMMUT084533.1	780	1
NONMMUG040112.2	NONMMUT064949.2	1249	3
NONMMUG010559.3	NONMMUT016781.2	2503	9
NONMMUG007410.2	NONMMUT085710.1	1404	9
NONMMUG002732.3	NONMMUT004213.2	1065	2
NONMMUG079272.2	NONMMUT126365.1	3029	1
NONMMUG015071.2	NONMMUT024381.2	952	3
NONMMUG026043.2	NONMMUT110530.1	5786	4
NONMMUG039944.2	NONMMUT064694.2	2537	2
NONMMUG028936.2	NONMMUT046799.2	345	1
NONMMUG062293.1	NONMMUT099577.1	932	1
NONMMUG036512.2	NONMMUT058730.2	471	3
NONMMUG030398.2	NONMMUT048941.2	2647	2
NONMMUG035032.3	NONMMUT056408.2	3161	3
NONMMUG012992.2	NONMMUT020926.2	1461	6
NONMMUG088491.1	NONMMUT140287.1	641	1
NONMMUG023423.2	NONMMUT107304.1	3681	7
NONMMUG002471.2	NONMMUT003840.2	2754	1
NONMMUG092985.1	NONMMUT147813.1	828	1
NONMMUG014373.2	NONMMUT023256.2	2757	6
NONMMUG035422.2	NONMMUT057072.2	2374	1
NONMMUG081190.2	NONMMUT152371.1	1516	1
NONMMUG081130.1	NONMMUT129214.1	3433	1
NONMMUG033102.2	NONMMUT120874.1	3691	5
NONMMUG090711.1	NONMMUT144043.1	4764	2
NONMMUG008634.2	NONMMUT013629.2	3227	2
NONMMUG095341.1	NONMMUT151813.1	2878	1
NONMMUG036859.2	NONMMUT124565.1	4307	2
NONMMUG058114.1	NONMMUT093208.1	596	1
NONMMUG028507.3	NONMMUT147949.1	3410	2
NONMMUG035361.2	NONMMUT123789.1	3017	5
NONMMUG075603.1	NONMMUT120536.1	1820	2
NONMMUG013779.3	NONMMUT022349.2	3536	2
NONMMUG045574.2	NONMMUT073474.2	3802	3
NONMMUG058827.1	NONMMUT094240.1	2177	1
NONMMUG019078.2	NONMMUT101536.1	920	1
NONMMUG088228.1	NONMMUT139686.1	1425	3
NONMMUG007008.2	NONMMUT011096.2	591	1
NONMMUG017034.2	NONMMUT027474.2	3293	2
NONMMUG030958.2	NONMMUT050000.2	1770	2
NONMMUG068280.2	NONMMUT146838.1	2158	3
NONMMUG041315.2	NONMMUT066755.2	2665	1
NONMMUG094368.1	NONMMUT150127.1	422	1
NONMMUG081129.1	NONMMUT129213.1	610	1
NONMMUG042619.3	NONMMUT068865.2	1815	2
NONMMUG042951.2	NONMMUT069347.2	2250	1
NONMMUG093280.1	NONMMUT148336.1	3678	1
NONMMUG023731.2	NONMMUT038404.2	317	1
NONMMUG054340.2	NONMMUT087254.1	1147	3
NONMMUG020556.2	NONMMUT033411.2	652	1
NONMMUG034088.2	NONMMUT054935.2	336	1
NONMMUG026670.2	NONMMUT113305.1	1551	2
NONMMUG006078.2	NONMMUT009713.2	2984	2
NONMMUG072524.1	NONMMUT115654.1	1241	1
NONMMUG038277.3	NONMMUT127223.1	1241	5
NONMMUG088895.1	NONMMUT140885.1	1260	3
NONMMUG073684.2	NONMMUT148737.1	2953	6
NONMMUG074983.1	NONMMUT119585.1	452	3
NONMMUG088964.1	NONMMUT140982.1	750	2
NONMMUG095465.1	NONMMUT152050.1	4920	1
NONMMUG053395.1	NONMMUT085764.1	1603	1
NONMMUG002070.2	NONMMUT003189.2	599	2
NONMMUG089351.1	NONMMUT141744.1	781	1
NONMMUG004545.2	NONMMUT007104.2	1261	2
NONMMUG030533.2	NONMMUT049306.2	573	1
NONMMUG083640.2	NONMMUT153372.1	2949	1
NONMMUG088900.1	NONMMUT140893.1	5921	1
NONMMUG000154.2	NONMMUT000221.2	1644	1
NONMMUG056014.1	NONMMUT089948.1	2871	1
NONMMUG088798.1	NONMMUT140749.1	619	2
NONMMUG010620.2	NONMMUT016892.2	2852	4
NONMMUG037820.3	NONMMUT060865.2	3027	2
NONMMUG081050.1	NONMMUT129094.1	1885	2
NONMMUG010126.2	NONMMUT016129.2	6770	2
NONMMUG025742.2	NONMMUT041621.2	210	1
NONMMUG017259.2	NONMMUT027855.2	1507	3
NONMMUG095942.1	NONMMUT153053.1	1604	2
NONMMUG042550.3	NONMMUT132406.1	7783	1
NONMMUG027127.2	NONMMUT043961.2	2815	5
NONMMUG031063.2	NONMMUT050165.2	828	4
NONMMUG022026.2	NONMMUT035818.2	1361	1
NONMMUG039505.2	NONMMUT063992.2	1585	2
NONMMUG002412.2	NONMMUT003752.2	1163	3
NONMMUG007841.2	NONMMUT012372.2	2912	1
NONMMUG027134.2	NONMMUT043975.2	1464	2
NONMMUG025884.2	NONMMUT108580.1	1585	3
NONMMUG001804.2	NONMMUT002669.2	2731	2
NONMMUG094256.1	NONMMUT149952.1	2194	3
NONMMUG017155.2	NONMMUT027684.2	2745	2
NONMMUG033312.3	NONMMUT149637.1	6873	2
NONMMUG041208.2	NONMMUT131344.1	2392	2
NONMMUG012880.2	NONMMUT094363.1	3138	3
NONMMUG025289.2	NONMMUT040810.2	1229	1
NONMMUG024535.2	NONMMUT039655.2	4075	2
NONMMUG018283.2	NONMMUT029575.2	3516	1
NONMMUG093533.1	NONMMUT148747.1	1787	2
NONMMUG071598.1	NONMMUT114159.1	803	1
NONMMUG015078.2	NONMMUT024392.2	1118	4
NONMMUG001570.2	NONMMUT002333.2	2701	3
NONMMUG026548.2	NONMMUT111069.1	3794	6
NONMMUG029720.2	NONMMUT047936.2	719	1
NONMMUG019123.2	NONMMUT102683.1	2762	5
NONMMUG039422.2	NONMMUT063845.2	2735	1
NONMMUG009135.2	NONMMUT014417.2	2340	1
NONMMUG065358.1	NONMMUT104498.1	2519	1
NONMMUG012694.2	NONMMUT020444.2	1179	1
NONMMUG035357.2	NONMMUT122276.1	2394	5
NONMMUG031363.2	NONMMUT050609.2	520	2
NONMMUG014253.2	NONMMUT095586.1	5057	1
NONMMUG091886.1	NONMMUT145978.1	522	2
NONMMUG077936.1	NONMMUT124310.1	4817	1
NONMMUG016172.2	NONMMUT099576.1	793	2
NONMMUG038184.3	NONMMUT127081.1	11291	26
NONMMUG028254.2	NONMMUT112453.1	2391	10
NONMMUG003169.2	NONMMUT004935.2	1667	4
NONMMUG001802.2	NONMMUT076370.1	4799	2
NONMMUG029562.2	NONMMUT047715.2	2687	1
NONMMUG018122.2	NONMMUT029309.2	1027	1
NONMMUG011077.2	NONMMUT017670.2	1815	3
NONMMUG005268.2	NONMMUT008525.2	1470	5
NONMMUG021247.2	NONMMUT034528.2	2197	1
NONMMUG029868.3	NONMMUT148121.1	11137	2
NONMMUG008650.2	NONMMUT013648.2	590	2
NONMMUG002422.2	NONMMUT003765.2	402	1
NONMMUG000727.2	NONMMUT001087.2	3587	2
NONMMUG025887.2	NONMMUT041828.2	1678	5
NONMMUG008769.3	NONMMUT013870.2	7029	2
NONMMUG029813.3	NONMMUT148099.1	2069	10
NONMMUG072530.1	NONMMUT115667.1	1337	1
NONMMUG019192.2	NONMMUT031161.2	1912	5
NONMMUG009327.3	NONMMUT141942.1	970	1
NONMMUG074874.1	NONMMUT119364.1	2818	1
NONMMUG014560.2	NONMMUT095876.1	1791	10
